input	lexicon	candidate	obs.prob	tab.prob	ABN	AFL	AFNL	AFLL
oi47_nak	oi_nak	oi_nak	.7	317	0	1	0	0
oi47_nak	oi_nak	oi_nek	.3	317	1	0	0	0
oE47_nak	oE_nak	oE_nak	.5	23	0	1	1	0
oE47_nak	oE_nak	oE_nek	.5	23	1	0	0	0
oe47_nak	oe_nak	oe_nak	.3	6	0	1	1	1
oe47_nak	oe_nak	oe_nek	.7	6	1	0	0	0
oi48_nak	oi_nak	oi_nak	.7	8	0	1	0	0
oi48_nak	oi_nak	oi_nek	.3	8	1	0	0	0
oE48_nak	oE_nak	oE_nak	.5	287	0	1	1	0
oE48_nak	oE_nak	oE_nek	.5	287	1	0	0	0
oe48_nak	oe_nak	oe_nak	.3	145	0	1	1	1
oe48_nak	oe_nak	oe_nek	.7	145	1	0	0	0
oi49_nak	oi_nak	oi_nak	.7	22	0	1	0	0
oi49_nak	oi_nak	oi_nek	.3	22	1	0	0	0
oE49_nak	oE_nak	oE_nak	.5	20	0	1	1	0
oE49_nak	oE_nak	oE_nek	.5	20	1	0	0	0
oe49_nak	oe_nak	oe_nak	.3	2	0	1	1	1
oe49_nak	oe_nak	oe_nek	.7	2	1	0	0	0
oi50_nak	oi_nak	oi_nak	.7	42	0	1	0	0
oi50_nak	oi_nak	oi_nek	.3	42	1	0	0	0
oE50_nak	oE_nak	oE_nak	.5	322	0	1	1	0
oE50_nak	oE_nak	oE_nek	.5	322	1	0	0	0
oe50_nak	oe_nak	oe_nak	.3	20	0	1	1	1
oe50_nak	oe_nak	oe_nek	.7	20	1	0	0	0
oi51_nak	oi_nak	oi_nak	.7	7	0	1	0	0
oi51_nak	oi_nak	oi_nek	.3	7	1	0	0	0
oE51_nak	oE_nak	oE_nak	.5	144	0	1	1	0
oE51_nak	oE_nak	oE_nek	.5	144	1	0	0	0
oe51_nak	oe_nak	oe_nak	.3	27	0	1	1	1
oe51_nak	oe_nak	oe_nek	.7	27	1	0	0	0
oi52_nak	oi_nak	oi_nak	.7	257	0	1	0	0
oi52_nak	oi_nak	oi_nek	.3	257	1	0	0	0
oE52_nak	oE_nak	oE_nak	.5	217	0	1	1	0
oE52_nak	oE_nak	oE_nek	.5	217	1	0	0	0
oe52_nak	oe_nak	oe_nak	.3	9	0	1	1	1
oe52_nak	oe_nak	oe_nek	.7	9	1	0	0	0
oi53_nak	oi_nak	oi_nak	.7	264	0	1	0	0
oi53_nak	oi_nak	oi_nek	.3	264	1	0	0	0
oE53_nak	oE_nak	oE_nak	.5	184	0	1	1	0
oE53_nak	oE_nak	oE_nek	.5	184	1	0	0	0
oe53_nak	oe_nak	oe_nak	.3	92	0	1	1	1
oe53_nak	oe_nak	oe_nek	.7	92	1	0	0	0
oi54_nak	oi_nak	oi_nak	.7	83	0	1	0	0
oi54_nak	oi_nak	oi_nek	.3	83	1	0	0	0
oE54_nak	oE_nak	oE_nak	.5	2	0	1	1	0
oE54_nak	oE_nak	oE_nek	.5	2	1	0	0	0
oe54_nak	oe_nak	oe_nak	.3	233	0	1	1	1
oe54_nak	oe_nak	oe_nek	.7	233	1	0	0	0
oi55_nak	oi_nak	oi_nak	.7	283	0	1	0	0
oi55_nak	oi_nak	oi_nek	.3	283	1	0	0	0
oE55_nak	oE_nak	oE_nak	.5	5	0	1	1	0
oE55_nak	oE_nak	oE_nek	.5	5	1	0	0	0
oe55_nak	oe_nak	oe_nak	.3	4	0	1	1	1
oe55_nak	oe_nak	oe_nek	.7	4	1	0	0	0
oi56_nak	oi_nak	oi_nak	.7	38	0	1	0	0
oi56_nak	oi_nak	oi_nek	.3	38	1	0	0	0
oE56_nak	oE_nak	oE_nak	.5	24	0	1	1	0
oE56_nak	oE_nak	oE_nek	.5	24	1	0	0	0
oe56_nak	oe_nak	oe_nak	.3	11	0	1	1	1
oe56_nak	oe_nak	oe_nek	.7	11	1	0	0	0
oi57_nak	oi_nak	oi_nak	.7	28	0	1	0	0
oi57_nak	oi_nak	oi_nek	.3	28	1	0	0	0
oE57_nak	oE_nak	oE_nak	.5	26	0	1	1	0
oE57_nak	oE_nak	oE_nek	.5	26	1	0	0	0
oe57_nak	oe_nak	oe_nak	.3	1	0	1	1	1
oe57_nak	oe_nak	oe_nek	.7	1	1	0	0	0
oi58_nak	oi_nak	oi_nak	.7	66	0	1	0	0
oi58_nak	oi_nak	oi_nek	.3	66	1	0	0	0
oE58_nak	oE_nak	oE_nak	.5	29	0	1	1	0
oE58_nak	oE_nak	oE_nek	.5	29	1	0	0	0
oe58_nak	oe_nak	oe_nak	.3	82	0	1	1	1
oe58_nak	oe_nak	oe_nek	.7	82	1	0	0	0
oi59_nak	oi_nak	oi_nak	.7	8	0	1	0	0
oi59_nak	oi_nak	oi_nek	.3	8	1	0	0	0
oE59_nak	oE_nak	oE_nak	.5	196	0	1	1	0
oE59_nak	oE_nak	oE_nek	.5	196	1	0	0	0
oe59_nak	oe_nak	oe_nak	.3	93	0	1	1	1
oe59_nak	oe_nak	oe_nek	.7	93	1	0	0	0
oi60_nak	oi_nak	oi_nak	.7	5	0	1	0	0
oi60_nak	oi_nak	oi_nek	.3	5	1	0	0	0
oE60_nak	oE_nak	oE_nak	.5	2	0	1	1	0
oE60_nak	oE_nak	oE_nek	.5	2	1	0	0	0
oe60_nak	oe_nak	oe_nak	.3	13	0	1	1	1
oe60_nak	oe_nak	oe_nek	.7	13	1	0	0	0
oi61_nak	oi_nak	oi_nak	.7	182	0	1	0	0
oi61_nak	oi_nak	oi_nek	.3	182	1	0	0	0
oE61_nak	oE_nak	oE_nak	.5	5	0	1	1	0
oE61_nak	oE_nak	oE_nek	.5	5	1	0	0	0
oe61_nak	oe_nak	oe_nak	.3	351	0	1	1	1
oe61_nak	oe_nak	oe_nek	.7	351	1	0	0	0
oi62_nak	oi_nak	oi_nak	.7	261	0	1	0	0
oi62_nak	oi_nak	oi_nek	.3	261	1	0	0	0
oE62_nak	oE_nak	oE_nak	.5	4	0	1	1	0
oE62_nak	oE_nak	oE_nek	.5	4	1	0	0	0
oe62_nak	oe_nak	oe_nak	.3	43	0	1	1	1
oe62_nak	oe_nak	oe_nek	.7	43	1	0	0	0
oi63_nak	oi_nak	oi_nak	.7	202	0	1	0	0
oi63_nak	oi_nak	oi_nek	.3	202	1	0	0	0
oE63_nak	oE_nak	oE_nak	.5	7	0	1	1	0
oE63_nak	oE_nak	oE_nek	.5	7	1	0	0	0
oe63_nak	oe_nak	oe_nak	.3	109	0	1	1	1
oe63_nak	oe_nak	oe_nek	.7	109	1	0	0	0
oi64_nak	oi_nak	oi_nak	.7	8	0	1	0	0
oi64_nak	oi_nak	oi_nek	.3	8	1	0	0	0
oE64_nak	oE_nak	oE_nak	.5	80	0	1	1	0
oE64_nak	oE_nak	oE_nek	.5	80	1	0	0	0
oe64_nak	oe_nak	oe_nak	.3	68	0	1	1	1
oe64_nak	oe_nak	oe_nek	.7	68	1	0	0	0
oi65_nak	oi_nak	oi_nak	.7	28	0	1	0	0
oi65_nak	oi_nak	oi_nek	.3	28	1	0	0	0
oE65_nak	oE_nak	oE_nak	.5	21	0	1	1	0
oE65_nak	oE_nak	oE_nek	.5	21	1	0	0	0
oe65_nak	oe_nak	oe_nak	.3	147	0	1	1	1
oe65_nak	oe_nak	oe_nek	.7	147	1	0	0	0
oi66_nak	oi_nak	oi_nak	.7	46	0	1	0	0
oi66_nak	oi_nak	oi_nek	.3	46	1	0	0	0
oE66_nak	oE_nak	oE_nak	.5	272	0	1	1	0
oE66_nak	oE_nak	oE_nek	.5	272	1	0	0	0
oe66_nak	oe_nak	oe_nak	.3	44	0	1	1	1
oe66_nak	oe_nak	oe_nek	.7	44	1	0	0	0
oi67_nak	oi_nak	oi_nak	.7	160	0	1	0	0
oi67_nak	oi_nak	oi_nek	.3	160	1	0	0	0
oE67_nak	oE_nak	oE_nak	.5	15	0	1	1	0
oE67_nak	oE_nak	oE_nek	.5	15	1	0	0	0
oe67_nak	oe_nak	oe_nak	.3	155	0	1	1	1
oe67_nak	oe_nak	oe_nek	.7	155	1	0	0	0
oi68_nak	oi_nak	oi_nak	.7	10	0	1	0	0
oi68_nak	oi_nak	oi_nek	.3	10	1	0	0	0
oE68_nak	oE_nak	oE_nak	.5	20	0	1	1	0
oE68_nak	oE_nak	oE_nek	.5	20	1	0	0	0
oe68_nak	oe_nak	oe_nak	.3	299	0	1	1	1
oe68_nak	oe_nak	oe_nek	.7	299	1	0	0	0
oi69_nak	oi_nak	oi_nak	.7	76	0	1	0	0
oi69_nak	oi_nak	oi_nek	.3	76	1	0	0	0
oE69_nak	oE_nak	oE_nak	.5	7	0	1	1	0
oE69_nak	oE_nak	oE_nek	.5	7	1	0	0	0
oe69_nak	oe_nak	oe_nak	.3	26	0	1	1	1
oe69_nak	oe_nak	oe_nek	.7	26	1	0	0	0
oi70_nak	oi_nak	oi_nak	.7	2	0	1	0	0
oi70_nak	oi_nak	oi_nek	.3	2	1	0	0	0
oE70_nak	oE_nak	oE_nak	.5	3	0	1	1	0
oE70_nak	oE_nak	oE_nek	.5	3	1	0	0	0
oe70_nak	oe_nak	oe_nak	.3	7	0	1	1	1
oe70_nak	oe_nak	oe_nek	.7	7	1	0	0	0
oi71_nak	oi_nak	oi_nak	.7	126	0	1	0	0
oi71_nak	oi_nak	oi_nek	.3	126	1	0	0	0
oE71_nak	oE_nak	oE_nak	.5	4	0	1	1	0
oE71_nak	oE_nak	oE_nek	.5	4	1	0	0	0
oe71_nak	oe_nak	oe_nak	.3	10	0	1	1	1
oe71_nak	oe_nak	oe_nek	.7	10	1	0	0	0
oi72_nak	oi_nak	oi_nak	.7	10	0	1	0	0
oi72_nak	oi_nak	oi_nek	.3	10	1	0	0	0
oE72_nak	oE_nak	oE_nak	.5	1	0	1	1	0
oE72_nak	oE_nak	oE_nek	.5	1	1	0	0	0
oe72_nak	oe_nak	oe_nak	.3	78	0	1	1	1
oe72_nak	oe_nak	oe_nek	.7	78	1	0	0	0
oi73_nak	oi_nak	oi_nak	.7	27	0	1	0	0
oi73_nak	oi_nak	oi_nek	.3	27	1	0	0	0
