input	lexeme	candidate	obs.prob	tab.prob	*p	*d	*j	*c	*g	*G	*voice	*finalVoi	*VTV	IdentV	IdentV_listed
ad4	ad	ad	0	1	0	1	0	0	0	0	1	1	0	0	1
ad4	ad	at	1	1	0	0	0	0	0	0	0	0	0	1	0
ad4_a	ad_a	ad_a	1	1	0	1	0	0	0	0	1	0	0	0	0
ad4_a	ad_a	at_a	0	1	0	0	0	0	0	0	0	0	1	1	1
ad5	ad	ad	0	1	0	1	0	0	0	0	1	1	0	0	1
ad5	ad	at	1	1	0	0	0	0	0	0	0	0	0	1	0
ad5_a	ad_a	ad_a	1	1	0	1	0	0	0	0	1	0	0	0	0
ad5_a	ad_a	at_a	0	1	0	0	0	0	0	0	0	0	1	1	1
ad6	ad	ad	0	1	0	1	0	0	0	0	1	1	0	0	1
ad6	ad	at	1	1	0	0	0	0	0	0	0	0	0	1	0
ad6_a	ad_a	ad_a	1	1	0	1	0	0	0	0	1	0	0	0	0
ad6_a	ad_a	at_a	0	1	0	0	0	0	0	0	0	0	1	1	1
ad7	ad	ad	0	1	0	1	0	0	0	0	1	1	0	0	1
ad7	ad	at	1	1	0	0	0	0	0	0	0	0	0	1	0
ad7_a	ad_a	ad_a	1	1	0	1	0	0	0	0	1	0	0	0	0
ad7_a	ad_a	at_a	0	1	0	0	0	0	0	0	0	0	1	1	1
ad8	ad	ad	0	1	0	1	0	0	0	0	1	1	0	0	1
ad8	ad	at	1	1	0	0	0	0	0	0	0	0	0	1	0
ad8_a	ad_a	ad_a	1	1	0	1	0	0	0	0	1	0	0	0	0
ad8_a	ad_a	at_a	0	1	0	0	0	0	0	0	0	0	1	1	1
at9	at	ad	0	1	0	1	0	0	0	0	1	1	0	1	1
at9	at	at	1	1	0	1	0	0	0	0	0	0	0	0	0
at9_a	at_a	ad_a	0	1	0	1	0	0	0	0	1	0	0	1	1
at9_a	at_a	at_a	1	1	0	0	0	0	0	0	0	0	1	0	0
at10	at	ad	0	1	0	1	0	0	0	0	1	1	0	1	1
at10	at	at	1	1	0	0	0	0	0	0	0	0	0	0	0
at10_a	at_a	ad_a	0	1	0	1	0	0	0	0	1	0	0	1	1
at10_a	at_a	at_a	1	1	0	0	0	0	0	0	0	0	1	0	0
aj1	aj	aj	0	1	0	0	1	0	0	0	1	1	0	0	1
aj1	aj	ac	1	1	0	0	0	1	0	0	0	0	0	1	0
aj1_a	aj_a	aj_a	1	1	0	0	1	0	0	0	1	0	0	0	0
aj1_a	aj_a	ac_a	0	1	0	0	0	1	0	0	0	0	1	1	1
aj2	aj	aj	0	1	0	0	1	0	0	0	1	1	0	0	1
aj2	aj	ac	1	1	0	0	0	1	0	0	0	0	0	1	0
aj2_a	aj_a	aj_a	1	1	0	0	1	0	0	0	1	0	0	0	0
aj2_a	aj_a	ac_a	0	1	0	0	0	1	0	0	0	0	1	1	1
aj3	aj	aj	0	1	0	0	1	0	0	0	1	1	0	0	1
aj3	aj	ac	1	1	0	0	0	1	0	0	0	0	0	1	0
aj3_a	aj_a	aj_a	1	1	0	0	1	0	0	0	1	0	0	0	0
aj3_a	aj_a	ac_a	0	1	0	0	0	1	0	0	0	0	1	1	1
aj4	aj	aj	0	1	0	0	1	0	0	0	1	1	0	0	1
aj4	aj	ac	1	1	0	0	0	1	0	0	0	0	0	1	0
aj4_a	aj_a	aj_a	1	1	0	0	1	0	0	0	1	0	0	0	0
aj4_a	aj_a	ac_a	0	1	0	0	0	1	0	0	0	0	1	1	1
aj5	aj	aj	0	1	0	0	1	0	0	0	1	1	0	0	1
aj5	aj	ac	1	1	0	0	0	1	0	0	0	0	0	1	0
aj5_a	aj_a	aj_a	1	1	0	0	1	0	0	0	1	0	0	0	0
aj5_a	aj_a	ac_a	0	1	0	0	0	1	0	0	0	0	1	1	1
aj6	aj	aj	0	1	0	0	1	0	0	0	1	1	0	0	1
aj6	aj	ac	1	1	0	0	0	1	0	0	0	0	0	1	0
aj6_a	aj_a	aj_a	1	1	0	0	1	0	0	0	1	0	0	0	0
aj6_a	aj_a	ac_a	0	1	0	0	0	1	0	0	0	0	1	1	1
aj7	aj	aj	0	1	0	0	1	0	0	0	1	1	0	0	1
aj7	aj	ac	1	1	0	0	0	1	0	0	0	0	0	1	0
aj7_a	aj_a	aj_a	1	1	0	0	1	0	0	0	1	0	0	0	0
aj7_a	aj_a	ac_a	0	1	0	0	0	1	0	0	0	0	1	1	1
aj8	aj	aj	0	1	0	0	1	0	0	0	1	1	0	1	1
aj8	aj	ac	1	1	0	0	0	1	0	0	0	0	0	0	0
aj8_a	aj_a	aj_a	0	1	0	0	1	0	0	0	1	0	0	1	1
aj8_a	aj_a	ac_a	1	1	0	0	0	1	0	0	0	0	1	0	0
aj9	aj	aj	0	1	0	0	1	0	0	0	1	1	0	1	1
aj9	aj	ac	1	1	0	0	1	1	0	0	0	0	0	0	0
aj9_a	aj_a	aj_a	0	1	0	0	1	0	0	0	1	0	0	1	1
aj9_a	aj_a	ac_a	1	1	0	0	0	1	0	0	0	0	1	0	0
aj10	aj	aj	0	1	0	0	1	0	0	0	1	1	0	1	1
aj10	aj	ac	1	1	0	0	0	1	0	0	0	0	0	0	0
aj10_a	aj_a	aj_a	0	1	0	0	1	0	0	0	1	0	0	1	1
aj10_a	aj_a	ac_a	1	1	0	0	0	1	0	0	0	0	1	0	0
ag1	ag	ag	0	1	0	0	0	0	1	0	1	1	0	0	1
ag1	ag	ak	1	1	0	0	0	0	0	0	0	0	0	1	0
ag1_a	ag_a	ag_a	1	1	0	0	0	0	1	0	1	0	0	0	0
ag1_a	ag_a	ak_a	0	1	0	0	0	0	0	0	0	0	1	1	1
ag2	ag	ag	0	1	0	0	0	0	1	0	1	1	0	0	1
ag2	ag	ak	1	1	0	0	0	0	0	0	0	0	0	1	0
ag2_a	ag_a	ag_a	1	1	0	0	0	0	1	0	1	0	0	0	0
ag2_a	ag_a	ak_a	0	1	0	0	0	0	0	0	0	0	1	1	1
ag3	ag	ag	0	1	0	0	0	0	1	0	1	1	0	0	1
ag3	ag	ak	1	1	0	0	0	0	0	0	0	0	0	1	0
ag3_a	ag_a	ag_a	1	1	0	0	0	0	1	0	1	0	0	0	0
ag3_a	ag_a	ak_a	0	1	0	0	0	0	0	0	0	0	1	1	1
ag4	ag	ag	0	1	0	0	0	0	1	0	1	1	0	0	1
ag4	ag	ak	1	1	0	0	0	0	0	0	0	0	0	1	0
ag4_a	ag_a	ag_a	1	1	0	0	0	0	1	0	1	0	0	0	0
ag4_a	ag_a	ak_a	0	1	0	0	0	0	0	0	0	0	1	1	1
ag5	ag	ag	0	1	0	0	0	0	1	0	1	1	0	0	1
ag5	ag	ak	1	1	0	0	0	0	0	0	0	0	0	1	0
ag5_a	ag_a	ag_a	1	1	0	0	0	0	1	0	1	0	0	0	0
ag5_a	ag_a	ak_a	0	1	0	0	0	0	0	0	0	0	1	1	1
ag6	ag	ag	0	1	0	0	0	0	1	0	1	1	0	1	1
ag6	ag	ak	1	1	0	0	0	0	0	0	0	0	0	0	0
ag6_a	ag_a	ag_a	0	1	0	0	0	0	1	0	1	0	0	1	1
ag6_a	ag_a	ak_a	1	1	0	0	0	0	0	0	0	0	1	0	0
ag7	ag	ag	0	1	0	0	0	0	1	0	1	1	0	1	1
ag7	ag	ak	1	1	0	0	0	0	0	0	0	0	0	0	0
ag7_a	ag_a	ag_a	0	1	0	0	0	0	1	0	1	0	0	1	1
ag7_a	ag_a	ak_a	1	1	0	0	0	0	0	0	0	0	1	0	0
ag8	ag	ag	0	1	0	0	0	0	1	0	1	1	0	1	1
ag8	ag	ak	1	1	0	0	0	0	0	0	0	0	0	0	0
ag8_a	ag_a	ag_a	0	1	0	0	0	0	1	0	1	0	0	1	1
ag8_a	ag_a	ak_a	1	1	0	0	0	0	0	0	0	0	1	0	0
ag9	ag	ag	0	1	0	0	0	0	1	0	1	1	0	1	1
ag9	ag	ak	1	1	0	0	0	0	1	0	0	0	0	0	0
ag9_a	ag_a	ag_a	0	1	0	0	0	0	1	0	1	0	0	1	1
ag9_a	ag_a	ak_a	1	1	0	0	0	0	0	0	0	0	1	0	0
ag10	ag	ag	0	1	0	0	0	0	1	0	1	1	0	1	1
ag10	ag	ak	1	1	0	0	0	0	0	0	0	0	0	0	0
ag10_a	ag_a	ag_a	0	1	0	0	0	0	1	0	1	0	0	1	1
ag10_a	ag_a	ak_a	1	1	0	0	0	0	0	0	0	0	1	0	0
aq1	aq	aG	0	1	0	0	0	0	0	1	1	1	0	0	1
aq1	aq	aq	1	1	0	0	0	0	0	0	0	0	0	1	0
aq1_a	aq_a	aG_a	1	1	0	0	0	0	0	1	1	0	0	0	0
aq1_a	aq_a	aq_a	0	1	0	0	0	0	0	0	0	0	1	1	1
aq2	aq	aG	0	1	0	0	0	0	0	1	1	1	0	0	1
aq2	aq	aq	1	1	0	0	0	0	0	0	0	0	0	1	0
aq2_a	aq_a	aG_a	1	1	0	0	0	0	0	1	1	0	0	0	0
aq2_a	aq_a	aq_a	0	1	0	0	0	0	0	0	0	0	1	1	1
aq3	aq	aG	0	1	0	0	0	0	0	1	1	1	0	1	1
aq3	aq	aq	1	1	0	0	0	0	0	0	0	0	0	0	0
aq3_a	aq_a	aG_a	0	1	0	0	0	0	0	1	1	0	0	1	1
aq3_a	aq_a	aq_a	1	1	0	0	0	0	0	0	0	0	1	0	0
aq4	aq	aG	0	1	0	0	0	0	0	1	1	1	0	1	1
aq4	aq	aq	1	1	0	0	0	0	0	0	0	0	0	0	0
aq4_a	aq_a	aG_a	0	1	0	0	0	0	0	1	1	0	0	1	1
aq4_a	aq_a	aq_a	1	1	0	0	0	0	0	0	0	0	1	0	0
aq5	aq	aG	0	1	0	0	0	0	0	1	1	1	0	1	1
aq5	aq	aq	1	1	0	0	0	0	0	0	0	0	0	0	0
aq5_a	aq_a	aG_a	0	1	0	0	0	0	0	1	1	0	0	1	1
aq5_a	aq_a	aq_a	1	1	0	0	0	0	0	0	0	0	1	0	0
aq6	aq	aG	0	1	0	0	0	0	0	1	1	1	0	1	1
aq6	aq	aq	1	1	0	0	0	0	0	0	0	0	0	0	0
aq6_a	aq_a	aG_a	0	1	0	0	0	0	0	1	1	0	0	1	1
aq6_a	aq_a	aq_a	1	1	0	0	0	0	0	0	0	0	1	0	0
aq7	aq	aG	0	1	0	0	0	0	0	1	1	1	0	1	1
aq7	aq	aq	1	1	0	0	0	0	0	0	0	0	0	0	0
aq7_a	aq_a	aG_a	0	1	0	0	0	0	0	1	1	0	0	1	1
aq7_a	aq_a	aq_a	1	1	0	0	0	0	0	0	0	0	1	0	0
aq8	aq	aG	0	1	0	0	0	0	0	1	1	1	0	1	1
aq8	aq	aq	1	1	0	0	0	0	0	0	0	0	0	0	0
aq8_a	aq_a	aG_a	0	1	0	0	0	0	0	1	1	0	0	1	1
aq8_a	aq_a	aq_a	1	1	0	0	0	0	0	0	0	0	1	0	0
aq9	aq	aG	0	1	0	0	0	0	0	1	1	1	0	1	1
aq9	aq	aq	1	1	0	0	0	0	0	1	0	0	0	0	0
aq9_a	aq_a	aG_a	0	1	0	0	0	0	0	1	1	0	0	1	1
aq9_a	aq_a	aq_a	1	1	0	0	0	0	0	0	0	0	1	0	0
aq10	aq	aG	0	1	0	0	0	0	0	1	1	1	0	1	1
aq10	aq	aq	1	1	0	0	0	0	0	0	0	0	0	0	0
aq10_a	aq_a	aG_a	0	1	0	0	0	0	0	1	1	0	0	1	1
aq10_a	aq_a	aq_a	1	1	0	0	0	0	0	0	0	0	1	0	0
